Date,Temperature
2/1/15 17:00,61.9
2/1/15 18:00,61.26
2/1/15 19:00,62.59
2/1/15 20:00,61.16
2/1/15 21:00,59.93
2/1/15 22:00,58.82
2/1/15 23:00,58.08
2/2/15 0:00,56.49
2/2/15 1:00,56.18
2/2/15 2:00,54.86
2/2/15 3:00,54.56
2/2/15 4:00,53.52
2/2/15 5:00,53.08
2/2/15 6:00,52.12
2/2/15 7:00,52.15
2/2/15 8:00,51.67
2/2/15 9:00,50.62
2/2/15 10:00,49.85
2/2/15 11:00,52.19
2/2/15 12:00,54.34
2/2/15 13:00,55.31
2/2/15 14:00,56.86
2/2/15 15:00,58.91
2/2/15 16:00,59.83
2/2/15 17:00,61.16
2/2/15 18:00,63.63
2/2/15 19:00,62.83
2/2/15 20:00,62.58
2/2/15 21:00,61.16
2/2/15 22:00,60.42
2/2/15 23:00,59.34
2/3/15 0:00,58.63
2/3/15 1:00,57.67
2/3/15 2:00,56.93
2/3/15 3:00,57.56
2/3/15 4:00,56.12
2/3/15 5:00,56.41
2/3/15 6:00,55.04
2/3/15 7:00,54.52
2/3/15 8:00,54.52
2/3/15 9:00,54.29
2/3/15 10:00,54.29
2/3/15 11:00,54.73
2/3/15 12:00,55.71
2/3/15 13:00,57
2/3/15 14:00,58.38
2/3/15 15:00,60.29
2/3/15 16:00,61.81
2/3/15 17:00,63.44
2/3/15 18:00,64.22
2/3/15 19:00,64.62
2/3/15 20:00,62.83
2/3/15 21:00,61.71
2/3/15 22:00,60.74
2/3/15 23:00,60.22
2/4/15 0:00,58.71
2/4/15 1:00,57.01
2/4/15 2:00,57.71
2/4/15 3:00,56.26
2/4/15 4:00,55.96
2/4/15 5:00,55
2/4/15 6:00,54.25
2/4/15 7:00,54.22
2/4/15 8:00,53.93
2/4/15 9:00,54.06
2/4/15 10:00,53.73
2/4/15 11:00,53.06
2/4/15 12:00,54.56
2/4/15 13:00,56.35
2/4/15 14:00,57.04
2/4/15 15:00,57.86
2/4/15 16:00,59.24
2/4/15 17:00,59.41
2/4/15 18:00,59.04
2/4/15 19:00,58.52
2/4/15 20:00,58
2/4/15 21:00,57.08
2/4/15 22:00,56.85
2/4/15 23:00,56
2/5/15 0:00,55.85
2/5/15 1:00,55.85
2/5/15 2:00,55.85
2/5/15 3:00,55.85
2/5/15 4:00,55.85
2/5/15 5:00,54.96
2/5/15 6:00,53.85
2/5/15 7:00,53.78
2/5/15 8:00,53.7
2/5/15 9:00,53.85
2/5/15 10:00,53.41
2/5/15 11:00,54.08
2/5/15 12:00,54.85
2/5/15 13:00,56
2/5/15 14:00,57.4
2/5/15 15:00,58.66
2/5/15 16:00,60.4
2/5/15 17:00,60.4
2/5/15 18:00,59.55
2/5/15 19:00,59.77
2/5/15 20:00,60.03
2/5/15 21:00,59.71
2/5/15 22:00,59.63
2/5/15 23:00,59.37
2/6/15 0:00,59.71
2/6/15 1:00,60
2/6/15 2:00,60
2/6/15 3:00,59.48
2/6/15 4:00,59.22
2/6/15 5:00,60.37
2/6/15 6:00,60.48
2/6/15 7:00,60.37
2/6/15 8:00,60.9
2/6/15 9:00,62.26
2/6/15 10:00,61.19
2/6/15 11:00,61.75
2/6/15 12:00,61.77
2/6/15 13:00,61.14
2/6/15 14:00,59.85
2/6/15 15:00,58.92
2/6/15 16:00,59.14
2/6/15 17:00,59.63
2/6/15 18:00,60.74
2/6/15 19:00,60.77
2/6/15 20:00,59.63
2/6/15 21:00,59.63
2/6/15 22:00,59.85
2/6/15 23:00,60
2/7/15 0:00,59.85
2/7/15 1:00,61.25
2/7/15 2:00,62.56
2/7/15 3:00,62.52
2/7/15 4:00,62.63
2/7/15 5:00,62.63
2/7/15 6:00,62.37
2/7/15 7:00,61.4
2/7/15 8:00,61.33
2/7/15 9:00,60.48
2/7/15 10:00,58.93
2/7/15 11:00,59.93
2/7/15 12:00,60.4
2/7/15 13:00,61.63
2/7/15 14:00,61.77
2/7/15 15:00,62.8
2/7/15 16:00,62.54
2/7/15 17:00,61.37
2/7/15 18:00,62.53
2/7/15 19:00,62.4
2/7/15 20:00,61.77
2/7/15 21:00,61.14
2/7/15 22:00,60.37
2/7/15 23:00,60.78
2/8/15 0:00,61.18
2/8/15 1:00,59.33
2/8/15 2:00,59.41
2/8/15 3:00,58.74
2/8/15 4:00,58.74
2/8/15 5:00,57.71
2/8/15 6:00,57.41
2/8/15 7:00,58.41
2/8/15 8:00,59.45
2/8/15 9:00,59
2/8/15 10:00,58.22
2/8/15 11:00,59.63
2/8/15 12:00,58.22
2/8/15 13:00,59
2/8/15 14:00,60.37
2/8/15 15:00,60.37
2/8/15 16:00,60.52
2/8/15 17:00,61.75
2/8/15 18:00,62.63
2/8/15 19:00,62.63
2/8/15 20:00,63.14
2/8/15 21:00,63
2/8/15 22:00,62
2/8/15 23:00,62.63
2/9/15 0:00,62.6
2/9/15 1:00,60.92
2/9/15 2:00,60.85
2/9/15 3:00,59.85
2/9/15 4:00,59.63
2/9/15 5:00,59.85
2/9/15 6:00,60.22
2/9/15 7:00,59.85
2/9/15 8:00,59.37
2/9/15 9:00,58.85
2/9/15 10:00,58.37
2/9/15 11:00,58.71
2/9/15 12:00,59.4
2/9/15 13:00,60.15
2/9/15 14:00,61.07
2/9/15 15:00,60.59
2/9/15 16:00,60.81
2/9/15 17:00,60.64
2/9/15 18:00,61.16
2/9/15 19:00,60.79
2/9/15 20:00,60.26
2/9/15 21:00,59.22
2/9/15 22:00,57.6
2/9/15 23:00,56.85
2/10/15 0:00,56.56
2/10/15 1:00,55.71
2/10/15 2:00,54.96
2/10/15 3:00,54
2/10/15 4:00,52.92
2/10/15 5:00,52.62
2/10/15 6:00,52.22
2/10/15 7:00,52.22
2/10/15 8:00,50.85
2/10/15 9:00,50.4
2/10/15 10:00,49.62
2/10/15 11:00,51.52
2/10/15 12:00,53.45
2/10/15 13:00,54.82
2/10/15 14:00,56.57
2/10/15 15:00,58.09
2/10/15 16:00,59.49
2/10/15 17:00,60.31
2/10/15 18:00,60.71
2/10/15 19:00,61.69
2/10/15 20:00,59.26
2/10/15 21:00,58.82
2/10/15 22:00,58.08
2/10/15 23:00,56.63
2/11/15 0:00,56.26
2/11/15 1:00,55.41
2/11/15 2:00,54.22
2/11/15 3:00,52.81
2/11/15 4:00,53.15
2/11/15 5:00,52.37
2/11/15 6:00,52.29
2/11/15 7:00,51.22
2/11/15 8:00,50.45
2/11/15 9:00,50.67
2/11/15 10:00,49.51
2/11/15 11:00,51.37
2/11/15 12:00,53.23
2/11/15 13:00,54.75
2/11/15 14:00,56.37
2/11/15 15:00,57.75
2/11/15 16:00,62.45
